Font_Size,Font_Name,Is_Bold,Is_Italic,Is_Centered,X_Position_Approx,Font_Color,Total_Chars,Total_Lines,Sample_Text_Lines
14.0,Calibri,False,False,True,126.0,0,772,13,"architecture. Since we will build and run the image on an AMD64 | machine, your base image and any dependencies should support | linux/amd64. Optionally, you can include the following in your | Dockerfile to explicitly specify the platform: FROM -- | generating a corresponding filename.json in /app/output for each"
14.0,Calibri,False,False,False,149.0,0,130,6,"≤ 10 seconds for a 50-page | PDF | Must run on CPU (amd64), | your solution should run on | the system with 8 CPUs and"
14.0,Calibri,False,False,True,314.0,0,8,4,25 | 10 | 10 | 45
14.0,Calibri,False,False,False,162.0,0,184,9,"documentation purpose, your solution should run using the | a. Input documents | b. Persona | c. Job to be done | d. Processing timestamp"
14.0,Calibri,False,False,True,162.0,0,35,1,“Expected Execution” section above.
14.0,Calibri,False,False,True,126.0,1001313,61,1,"deadline, you will be informed, when to make the repo public."
14.0,Calibri,False,False,False,144.0,0,2,1,b.
14.0,Calibri,False,False,False,309.0,0,135,5,How well selected sections match | persona + job requirements with | proper stack ranking | Quality of granular subsection | extraction and ranking
14.0,Calibri,False,False,False,73.0,0,38,2,Section Relevance | Sub-Section Relevance
14.0,Calibri,False,False,True,266.0,0,4,2,60 | 40
14.0,"Arial,Bold",True,False,False,58.0,8421504,58,4,Overview | Sample Files | Deploying the Sample | Running the Sample
12.0,Symbol,False,False,False,75.0,0,1,1,
12.0,LMRoman12-Bold,True,False,False,134.0,0,30,2,Sample Text PDF | Sample Text PDF
12.0,Calibri,False,False,False,162.0,0,11,1,a. Document
12.0,Calibri,False,False,False,144.0,0,15,1,c. Refined Text
12.0,Calibri,False,False,False,72.0,0,38,2,This Is normal text | This Is normal text
12.0,"Arial,BoldItalic",True,True,False,308.0,0,20,1,Sample Bookmark File
12.0,"Arial,BoldItalic",True,True,False,58.0,0,16,1,Sample Data File
11.0,Symbol,False,False,False,76.0,0,6,6,• | • | • | • | •
11.0,Calibri,False,False,False,72.0,0,55,4,This is normal text | This is normal text | Syntax | Indentation
11.0,Calibri,False,False,True,295.0,0,2,2,1 | 2
11.0,"Arial,Bold",True,False,False,63.0,0,79,5,Sample Date: | Prepared by: | Created and Tested Using: | Features Demonstrated: | Filename
11.0,"Arial,Bold",True,False,False,225.0,0,11,1,Description
11.0,"Arial,Bold",True,False,False,81.0,0,16,1,To bookmark by …
11.0,"Arial,Bold",True,False,True,221.0,0,32,1,Use the command line parameter …
11.0,Arial,True,False,True,58.0,0,83,1,display of bookmarks in Adobe Acrobat Reader by clicking Window > Sh...
11.0,Arial,True,False,False,58.0,0,160,2,1. Open the template design ap_bookmark.IFD in Output Designer and rec... | 2. Modify the -z option in the ^job command in the data file ap_bookma...
11.0,Arial,True,False,False,94.0,0,171,3,Identify the bookmark file using the -abmk command. | Place ap_bookmark.mdf in the forms subdirectory accessible to Central. | Place ap_bookmark.bmk in an addressable directory.
11.0,Arial,True,False,True,94.0,0,151,2,"Identify the section for which to generate bookmarks, if desired, usin... | Place ap_bookmark.IFD in the Designs subdirectory for Output Designer."
11.0,Arial,True,False,True,76.0,0,88,1,"To run this sample, place ap_bookmark.dat in the collector directory s..."
11.0,Arial,False,False,False,234.0,0,8,1,May 2001
11.0,Arial,False,False,True,234.0,0,34,1,Accelio Present Applied Technology
11.0,Arial,False,False,True,252.0,0,59,2,Accelio Present Central 5.4 | Primary bookmarks in a PDF file.
11.0,Arial,False,False,False,252.0,0,69,2,Accelio Present Output Designer 5.4 | Secondary bookmarks in a PDF file.
11.0,Arial,False,False,True,58.0,0,467,5,"This sample consists of a simple form containing four distinct fields.... | By default, the data file will produce a PDF file containing eight sep... | The left pane displays the available bookmarks for this PDF. You may n... | Selecting a date from the left pane displays the corresponding page wi... | Note that the index has been sorted according to the specification in ..."
11.0,Arial,False,False,False,58.0,0,475,8,separate records. | use of the bookmark file will produce the same PDF with a separate pan... | bookmarks. This screenshot of the sample output shows a PDF file with ... | pages within the file are created according to the original order in t... | The example bookmark file includes three distinct sections:
11.0,Arial,False,False,False,76.0,0,188,5,"Invoices sorted, ascending, by date. | Invoices sorted, ascending, by item type. | Invoices sorted, descending, by transaction amount. | template for the appropriate presentment target. | For example,"
11.0,Arial,False,False,False,63.0,0,94,6,ap_bookmark.IFD | ap_bookmark.mdf | ap_bookmark.dat | ap_bookmark.bmk | ap_bookmark.pdf
11.0,Arial,False,False,True,225.0,0,164,6,The template design. | The template targeted for PDF output. | A sample data file in DAT format. | A sample bookmark file. | Sample PDF output.
11.0,Arial,False,False,False,94.0,0,42,2,Identify the target output device. | command.
11.0,Arial,False,False,False,81.0,0,18,3,Invoices | Type | Amount
10.5,Symbol,False,False,False,75.0,0,5,5, |  |  |  | 
10.5,DejaVuSans-Bold,True,False,True,57.0,0,79,1,"convallis. Maecenas sed egestas nulla, ac condimentum orci.  Mauris di..."
10.5,DejaVuSans-Bold,True,False,False,93.0,0,47,1,Maecenas non lorem quis tellus placerat varius.
10.5,DejaVuSans,True,False,True,57.0,0,77,1,"condimentum.  Vivamus  dapibus  sodales  ex,  vitae  malesuada  ipsum ..."
10.5,DejaVuSans,False,False,True,57.0,0,4532,50,"Vestibulum neque massa, scelerisque sit amet ligula eu, congue molesti... | varius sem. Nullam at porttitor arcu, nec lacinia nisi. Ut ac dolor vi... | vulputate ac suscipit et, iaculis non est. Curabitur semper arcu ac li... | nisl blandit. Integer lacinia ante ac libero lobortis imperdiet. Nulla... | tortor quis risus auctor condimentum. Morbi in ullamcorper elit. Nulla..."
10.5,DejaVuSans,False,False,True,56.0,0,94,1,ac accumsan nunc vehicula vitae. Nulla eget justo in felis tristique f...
10.5,DejaVuSans,False,False,False,57.0,0,420,10,"mauris tempus fringilla. | Maecenas mauris lectus, lobortis et purus mattis, blandit dictum tellu... | ultricies ut purus. Ut facilisis et lacus eu cursus. | maximus ultricies. | sed turpis imperdiet eleifend sit amet id sapien."
10.5,DejaVuSans,False,False,False,92.0,0,15,1,Nulla facilisi.
10.5,DejaVuSans,False,False,False,93.0,0,90,3,Aenean congue fringilla justo ut aliquam. | sagittis. | Morbi viverra semper lorem nec molestie.
10.5,DejaVuSans,False,False,True,93.0,0,162,2,"Mauris id ex erat. Nunc vulputate neque vitae justo facilisis, non con... | Maecenas tincidunt est efficitur ligula euismod, sit amet ornare est v..."
10.5,DejaVuSans,False,False,False,96.0,0,200,7,"Lorem ipsum | In eleifend velit vitae libero sollicitudin euismod. | Cras fringilla ipsum magna, in fringilla dui commodo | a. | Aliquam erat volutpat."
10.5,DejaVuSans,False,False,False,379.0,0,36,6,Lorem ipsum | Lorem | Ipsum | Lorem | Lorem
10.5,DejaVuSans,False,False,False,457.0,0,11,1,Lorem ipsum
10.5,DejaVuSans,False,False,False,60.0,0,5,5,1 | 2 | 3 | 4 | 5
10.0,SymbolMT,True,False,False,126.0,0,170,6,• Round 1: | • Round 2: | • CPU architecture: amd64 (x86_64) | • Persona: Investment Analyst | • Persona: Undergraduate Chemistry Student
10.0,SymbolMT,True,False,True,126.0,0,410,7,"• Documents: 4 research papers on ""Graph Neural Networks for | • Persona: PhD Researcher in Computational Biology | • Job: ""Prepare a comprehensive literature review focusing on | • Documents: 3 annual reports from competing tech companies | • Job: ""Analyze revenue trends, R&D investments, and market"
10.0,SymbolMT,True,False,False,126.0,1001313,1,1,•
10.0,SymbolMT,False,False,False,126.0,0,145,7,• Extracts: | • | • No GPU dependencies | • Model size (if used) ≤ 200MB | • output.json
10.0,SymbolMT,False,False,True,126.0,0,739,13,"• Outputs a valid JSON file in the format below: | • Please ensure your Dockerfile is compatible with AMD64 | • Should work offline — no network/internet calls | • Automatically process all PDFs from /app/input directory, | • Don’t rely solely on font sizes for heading level determination —"
10.0,SymbolMT,False,False,True,126.0,1001313,68,1,• Important – Please keep your Git Repo private till the competition
10.0,Symbol,False,False,False,234.0,0,4,4,• | • | • | •
10.0,Symbol,False,False,False,58.0,0,4,4,• | • | • | •
10.0,LiberationSans,False,False,False,156.0,0,4,2,12 | 10
10.0,LiberationSans,False,False,False,161.0,0,5,5,8 | 6 | 4 | 2 | 0
10.0,LiberationSans,False,False,False,421.0,0,24,3,Column 1 | Column 2 | Column 3
10.0,LiberationSans,False,False,False,188.0,0,5,1,Row 1
10.0,LiberationSans,False,False,False,246.0,0,5,1,Row 2
10.0,LiberationSans,False,False,True,303.0,0,5,1,Row 3
10.0,LiberationSans,False,False,False,361.0,0,5,1,Row 4
10.0,LMRoman10-Regular,True,False,True,133.0,0,144,2,This document serves as an example of a text-based PDF file. It includ... | This document serves as an example of a text-based PDF file. It includ...
10.0,LMRoman10-Regular,True,False,False,146.0,0,62,2,• Bold Text: This is bold text. | • Bold Text: This is bold text.
10.0,LMRoman10-Regular,True,True,False,146.0,0,102,2,• Bold & Italic Text: This is bold and italic text. | • Bold & Italic Text: This is bold and italic text.
10.0,LMRoman10-Regular,False,False,True,133.0,0,468,6,"This is a sample PDF document containing text in various formats. It i... | Vestibulum vehicula ligula a augue eleifend, sed pellentesque massa so... | This concludes our sample text PDF. You can modify, format, and expand... | This is a sample PDF document containing text in various formats. It i... | Vestibulum vehicula ligula a augue eleifend, sed pellentesque massa so..."
10.0,LMRoman10-Regular,False,False,False,134.0,0,384,14,"for testing, formatting, and document display purposes. | PDFs. | varius nulla suscipit. | Nam tincidunt felis eu justo cursus, eget malesuada arcu iaculis. | 2. Second item"
10.0,LMRoman10-Regular,False,False,True,134.0,0,478,6,"different font styles, sizes, and alignments to demonstrate text rende... | Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla convall... | nisi, id scelerisque nisi fringilla non. Sed consequat orci in nisl bi... | different font styles, sizes, and alignments to demonstrate text rende... | Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla convall..."
10.0,LMRoman10-Regular,False,True,False,146.0,0,70,2,• Italic Text: This is italic text. | • Italic Text: This is italic text.
10.0,LMRoman10-Regular,False,False,False,146.0,0,126,4,• Monospace Text: This is code-like text. | • ~Strikethrough Text~ | • Monospace Text: This is code-like text. | • ~Strikethrough Text~
10.0,LMRoman10-Regular,False,False,False,132.0,0,48,6,- Item 1 | - Item 2 | - Item 3 | - Item 1 | - Item 2
10.0,LMRoman10-Regular,False,False,False,133.0,0,26,2,1. First item | 1. First item
10.0,LMRoman10-Regular,False,False,True,303.0,0,3,3,1 | 2 | 3
10.0,LMRoman10-Regular,False,False,False,230.0,0,52,8,Column 1 | Row 1A | Row 2A | Row 3A | Column 1
10.0,LMRoman10-Regular,False,False,True,284.0,0,52,8,Column 2 | Row 1B | Row 2B | Row 3B | Column 2
10.0,LMRoman10-Regular,False,False,False,339.0,0,52,8,Column 3 | Row 1C | Row 2C | Row 3C | Column 3
10.0,LMRoman10-Regular,False,False,True,157.0,0,134,2,“This is a sample blockquote. It can be used to highlight important | “This is a sample blockquote. It can be used to highlight important
10.0,LMRoman10-Regular,False,False,False,159.0,0,12,2,text.” | text.”
10.0,LMRoman10-Bold,True,False,False,134.0,0,410,20,Heading Example | Section 1: Introduction | Section 2: Text Formatting | Section 3: Sample Paragraphs | Section 4: Lists
10.0,CourierNewPSMT,True,False,False,162.0,0,7,1,o Title
10.0,CourierNewPSMT,True,False,True,162.0,0,51,1,"o Headings: H1, H2, H3 (with level and page number)"
10.0,CourierNewPSMT,False,False,False,162.0,0,45,2,o Your approach | o Any models or libraries used
10.0,CourierNewPSMT,False,False,True,162.0,0,56,1,o How to build and run your solution (This is purely for
10.0,Courier-Bold,True,False,True,221.0,0,96,3,-abmkap_bookmark.bmk -abmsinvoices | -abmkap_bookmark.bmk -abmstype | -abmkap_bookmark.bmk -abmsamount
10.0,Courier,False,False,False,58.0,0,364,26,^reformat trunc | ^symbolset WINLATIN1 | ^field trans_date | 2000-01-1 | ^field description
10.0,Courier,False,False,False,308.0,0,127,7,"[invoices] | Invoices by Date=0 | trans_date=1,A | Invoices by Item Type=0 | trans_type=1,A"
10.0,Courier,False,False,True,308.0,0,14,2,[type] | [amount]
9.0,Arial,False,False,False,58.0,0,76,4,PDF Bookmark Sample | PDF Bookmark Sample | PDF Bookmark Sample | PDF Bookmark Sample
9.0,Arial,False,False,False,476.0,0,44,4,Page 1 of 4 | Page 2 of 4 | Page 3 of 4 | Page 4 of 4
