text,font_size,page_number,level,is_bold,is_centered,space_above,word_count,x0
"I declare that the particulars furnished above are true and correct to the best of my knowledge.","11.0",1,"Body",False,False,19.4,17,105.1
"I undertake to produce the tickets for the outward journey within ten days of receipt of the advance.","11.0",1,"Body",False,False,10.9,19,105.1
"In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of","11.0",1,"Body",False,False,10.9,21,105.1
"advance, I undertake to refund the entire advance in one lump sum.","11.0",1,"Body",False,False,2.8,13,105.1
"Date","11.0",1,"Body",True,False,10.9,1,105.1
"Signature of Government Servant.","11.0",1,"Body",True,False,0.0,4,432.1
"Overview","18.0",1,"Title",False,False,0.0,1,343.4
"Foundation Level Extensions","18.0",1,"Title",False,False,11.3,3,272.8
"Revision History","14.0",3,"H1",True,False,59.3,2,298.5
"Table of Contents","14.0",4,"H1",True,False,59.3,3,293.4
"1. Introduction to the Foundation Level Extensions","14.0",6,"H1",True,False,143.6,7,124.7
"2. Introduction to Foundation Level Agile Tester Extension","14.0",7,"H1",True,False,143.6,7,124.7
"2.1 Intended Audience","12.0",7,"H2",True,False,5.4,3,83.9
"2.2 Career Paths for Testers","12.0",7,"H2",True,False,5.4,5,83.9
"2.3 Learning Objectives","12.0",7,"H2",True,False,23.3,3,83.9
"2.4 Entry Requirements","12.0",8,"H2",True,False,35.4,3,83.9
"2.5 Structure and Course Duration","12.0",8,"H2",True,False,5.4,5,83.9
"2.6 Keeping It Current","12.0",9,"H2",True,False,122.3,4,83.9
"3. Overview of the Foundation Level Extension – Agile TesterSyllabus","14.0",10,"H1",True,False,143.6,10,124.7
"3.1 Business Outcomes","12.0",10,"H2",True,False,5.4,3,83.9
"3.2 Content","12.0",10,"H2",True,False,5.4,2,83.9
"4. References","14.0",12,"H1",True,False,143.6,2,324.9
"4.1 Trademarks","12.0",12,"H2",True,False,5.4,2,83.9
"4.2 Documents and Web Sites","12.0",12,"H2",True,False,5.4,5,83.9
"RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library","18.0",1,"Title",True,False,24.1,19,158.4
"Ontario’s Digital Library","18.0",2,"H1",True,False,35.4,3,313.1
"A Critical Component for Implementing Ontario’s Road Map to Prosperity Strategy","12.0",2,"H1",True,False,7.2,12,217.4
"Summary","14.0",2,"H2",True,False,24.3,1,64.2
"Timeline:","12.0",2,"H3",True,False,5.5,1,64.2
"Background","14.0",3,"H2",True,False,5.5,1,64.2
"Equitable access for all Ontarians:","10.0",4,"H3",True,False,5.5,5,64.2
"Shared decision-making and accountability:","10.0",4,"H3",True,False,5.5,4,64.2
"Shared governance structure:","10.0",4,"H3",True,False,5.5,3,64.2
"Shared funding:","10.0",4,"H3",True,False,5.5,2,64.2
"Local points of entry:","10.0",5,"H3",True,False,35.4,4,64.2
"Access:","10.0",5,"H3",True,False,5.5,1,75.2
"Guidance and Advice:","10.0",5,"H3",True,False,5.5,3,75.2
"Training:","10.0",5,"H3",True,False,5.5,1,75.2
"Provincial Purchasing & Licensing:","10.0",5,"H3",True,False,5.5,4,75.2
"Technological Support:","10.0",5,"H3",True,False,5.5,2,75.2
"What could the ODL really mean?","12.0",5,"H3",True,False,5.5,6,64.2
"For each Ontario citizen it could mean:","10.0",5,"H4",True,False,5.5,7,64.2
"For each Ontario student it could mean:","10.0",5,"H4",True,False,5.5,7,64.2
"For each Ontario library it could mean:","10.0",6,"H4",True,False,5.5,7,64.2
"For the Ontario government it could mean:","10.0",6,"H4",True,False,5.5,7,64.2
"The Business Plan to be Developed","12.0",6,"H2",True,False,5.5,6,316.4
"Milestones","12.0",7,"H3",True,False,5.5,1,332.2
"Approach and Specific Proposal Requirements","12.0",7,"H2",True,False,5.5,5,263.8
"Evaluation and Awarding of Contract","12.0",8,"H2",True,False,35.4,5,283.0
"Appendix A: ODL Envisioned Phases & Funding","14.0",9,"H2",True,False,35.4,7,189.9
"Phase I: Business Planning","12.0",9,"H3",True,False,5.5,4,64.2
"Phase II: Implementing and Transitioning","12.0",9,"H3",True,False,5.5,4,64.2
"Phase III: Operating and Growing the ODL","12.0",9,"H3",True,False,5.5,6,64.2
"Appendix B: ODL Steering Committee Terms of Reference","14.0",11,"H2",True,False,35.4,7,189.9
"1. Preamble","12.0",11,"H3",True,False,24.3,2,64.2
"2. Terms of Reference","12.0",11,"H3",True,False,5.5,4,64.2
"3. Membership","12.0",11,"H3",True,False,5.5,2,64.2
"4. Appointment Criteria and Process","12.0",12,"H3",True,False,5.5,5,64.2
"5. Term","12.0",12,"H3",True,False,5.5,2,64.2
"6. Chair","12.0",12,"H3",True,False,5.5,2,64.2
"7. Meetings","12.0",12,"H3",True,False,5.5,2,64.2
"8. Lines of Accountability and Communication","12.0",12,"H3",True,False,5.5,5,64.2
"9. Financial and Administrative Policies","12.0",13,"H3",True,False,5.5,5,64.2
"Appendix C: ODL’s Envisioned Electronic Resources","14.0",14,"H2",True,False,35.4,6,189.9
"Parsippany -Troy Hills STEM Pathways","10.0",1,"Title",True,False,35.2,6,152.0
"PATHWAY OPTIONS","20.0",1,"H1",True,False,25.9,2,326.0
"HOPE To SEE You THERE!","16.0",1,"H1",True,False,8.2,5,190.5
"INVOICE","36.0",1,"Title",True,False,0.0,1,50.9
"Leave Policy","24.0",1,"Title",True,True,0.0,2,234.0
"1. PURPOSE","14.0",1,"H1",True,False,16.8,2,50.9
"2. SCOPE","14.0",1,"H1",True,False,11.2,2,50.9
"3. TYPES OF LEAVE","14.0",1,"H1",True,False,11.2,4,50.9
"3.1. Casual Leave (CL)","12.0",1,"H2",True,False,8.4,4,50.9
"3.2. Earned Leave (EL)","12.0",1,"H2",True,False,8.4,4,50.9
"3.3. Sick Leave (SL)","12.0",2,"H2",True,False,5.6,4,50.9
"3.4. Maternity Leave (ML)","12.0",2,"H2",True,False,8.4,4,50.9
"3.5. Paternity Leave (PL)","12.0",2,"H2",True,False,8.4,4,50.9
"3.6. Compensatory Off","12.0",2,"H2",True,False,8.4,3,50.9
"4. GENERAL LEAVE GUIDELINES","14.0",3,"H1",True,False,11.2,4,50.9
"Top Trumps Specials","22.0",1,"Title",True,True,0.0,3,205.1
"How to Play","18.0",1,"H1",True,False,13.8,3,50.9
"How to use your Top Trumps cards to play any of the games:","11.0",1,"H1",True,False,8.4,12,50.9
"Frankfurt International School - Internal Audit Review","20.0",1,"Title",True,True,0.0,7,102.5
"Introduction","16.0",2,"H1",True,False,14.0,1,50.9
"Executive Summary","16.0",2,"H1",True,False,14.0,2,50.9
"Key Findings","14.0",2,"H2",True,False,11.2,2,67.9
"Detailed Report","16.0",3,"H1",True,False,14.0,2,50.9
"Financial Controls","14.0",3,"H2",True,False,11.2,2,67.9
"Operational Efficiency","14.0",4,"H2",True,False,11.2,2,67.9
"Recommendations","16.0",5,"H1",True,False,14.0,1,50.9
"Management Response","16.0",6,"H1",True,False,14.0,2,50.9
"Appendix","16.0",7,"H1",True,False,14.0,1,50.9
"Chapter 1 Introduction","28.0",1,"Title",True,False,0.0,3,178.6
"1.1 Professional software development","18.0",2,"H1",True,False,22.4,4,50.9
"1.2 Software engineering ethics","18.0",16,"H1",True,False,22.4,4,50.9
"1.3 Case studies","18.0",21,"H1",True,False,22.4,3,50.9
"The Lean Startup","36.0",1,"Title",True,True,0.0,3,157.1
"Introduction","24.0",2,"H1",True,False,28.0,1,50.9
"Part One: Vision","18.0",5,"H1",True,False,22.4,3,50.9
"Chapter 1: Start","16.0",5,"H2",True,False,14.0,3,50.9
"Chapter 2: Define","16.0",6,"H2",True,False,14.0,3,50.9
"Chapter 3: Learn","16.0",7,"H2",True,False,14.0,3,50.9
"Chapter 4: Experiment","16.0",8,"H2",True,False,14.0,3,50.9
"Data Structures and Algorithms","28.0",1,"Title",True,True,0.0,4,142.9
"Chapter-1: Introduction To Data Structure","18.0",2,"H1",True,False,22.4,6,50.9
"1.1: Basic Terminology","14.0",2,"H2",True,False,11.2,3,67.9
"1.2: Classification of Data Structure","14.0",3,"H2",True,False,11.2,5,67.9
"1.3: Operations on Data Structure","14.0",4,"H2",True,False,11.2,5,67.9
"1.4: Algorithm","14.0",5,"H2",True,False,11.2,2,67.9
"1.5: Complexity of Algorithm","14.0",6,"H2",True,False,11.2,4,67.9
"1.6: Time-Space trade-off","14.0",8,"H2",True,False,11.2,3,67.9
"Bookkeeping Basics","28.0",1,"Title",True,True,0.0,2,198.8
"What is bookkeeping?","18.0",1,"H1",True,False,22.4,3,50.9
"Why is bookkeeping important?","18.0",1,"H1",True,False,22.4,4,50.9
"What are the different types of bookkeeping?","18.0",2,"H1",True,False,22.4,7,50.9
"Bookkeeping vs. Accounting: What’s the difference?","18.0",3,"H1",True,False,22.4,7,50.9
"What this guide covers","18.0",4,"H1",True,False,22.4,4,50.9
"A-LEVEL SOCIOLOGY","24.0",1,"Title",True,True,0.0,2,214.3
"Paper 1: Education with Theory and Methods","16.0",1,"H1",True,False,14.0,7,50.9
"Education","12.0",1,"H2",True,False,8.4,1,67.9
"Methods in Context","12.0",1,"H2",True,False,8.4,3,67.9
"Theory and Methods","12.0",1,"H2",True,False,8.4,3,67.9
"Paper 2: Topics in Sociology","16.0",1,"H1",True,False,14.0,5,50.9
"Section A: Families and Households","12.0",1,"H2",True,False,8.4,5,67.9
"Section B: Beliefs in Society","12.0",1,"H2",True,False,8.4,5,67.9
"Paper 3: Crime and Deviance with Theory and Methods","16.0",1,"H1",True,False,14.0,8,50.9
"Crime and Deviance","12.0",1,"H2",True,False,8.4,3,67.9
"Agile Crash Course","36.0",1,"Title",True,True,0.0,3,157.1
"What is Agile?","24.0",2,"H1",True,False,28.0,3,50.9
"The Agile Manifesto","24.0",3,"H1",True,False,28.0,3,50.9
"Individuals and interactions over processes and tools","14.0",4,"H2",True,False,11.2,7,50.9
"Working software over comprehensive documentation","14.0",5,"H2",True,False,11.2,5,50.9
"Customer collaboration over contract negotiation","14.0",6,"H2",True,False,11.2,5,50.9
"Responding to change over following a plan","14.0",7,"H2",True,False,11.2,7,50.9
"Values of Agile","24.0",8,"H1",True,False,28.0,3,50.9
"Thank You","24.0",9,"H1",True,False,28.0,2,50.9
"The Intelligent Investor","36.0",1,"Title",True,True,0.0,3,171.4
"Introduction: What This Book Expects to Accomplish","18.0",2,"H1",True,False,22.4,8,50.9
"Chapter 1: Investment versus Speculation: Results to Be Expected by the Intelligent Investor","16.0",3,"H2",True,False,14.0,13,50.9
"Chapter 2: The Investor and Inflation","16.0",4,"H2",True,False,14.0,6,50.9
"The Bitcoin Standard","36.0",1,"Title",True,True,0.0,3,180.1
"Introduction","18.0",2,"H1",True,False,22.4,1,50.9
"1. Money","16.0",3,"H1",True,False,14.0,2,50.9
"2. Primitive Moneys","16.0",4,"H1",True,False,14.0,3,50.9
"How to Win Friends and Influence People","36.0",1,"Title",True,True,0.0,7,85.7
"Part One: Fundamental Techniques in Handling People","18.0",2,"H1",True,False,22.4,7,50.9
"1. ‘If You Want to Gather Honey, Don’t Kick Over the Beehive’","16.0",2,"H2",True,False,14.0,12,50.9
"2. The Big Secret of Dealing with People","16.0",3,"H2",True,False,14.0,7,50.9
"Thinking, Fast and Slow","36.0",1,"Title",True,True,0.0,4,157.1
"Part I: Two Systems","18.0",3,"H1",True,False,22.4,4,50.9
"1. The Characters of the Story","16.0",3,"H2",True,False,14.0,6,50.9
"2. Attention and Effort","16.0",4,"H2",True,False,14.0,4,50.9
"Think and Grow Rich","36.0",1,"Title",True,True,0.0,4,157.1
"INTRODUCTION","18.0",2,"H1",True,False,22.4,1,50.9
"CHAPTER 1: THOUGHTS ARE THINGS","16.0",3,"H1",True,False,14.0,5,50.9
"CHAPTER 2: DESIRE","16.0",4,"H1",True,False,14.0,3,50.9
"The 48 Laws of Power","36.0",1,"Title",True,True,0.0,5,157.1
"LAW 1: NEVER OUTSHINE THE MASTER","18.0",2,"H1",True,False,22.4,6,50.9
"LAW 2: NEVER PUT TOO MUCH TRUST IN FRIENDS, LEARN HOW TO USE ENEMIES","18.0",3,"H1",True,False,22.4,14,50.9
"LAW 3: CONCEAL YOUR INTENTIONS","18.0",4,"H1",True,False,22.4,4,50.9
"Zero to One","36.0",1,"Title",True,True,0.0,3,205.1
"Preface","18.0",2,"H1",True,False,22.4,1,50.9
"1. The Challenge of the Future","16.0",3,"H1",True,False,14.0,6,50.9
"2. Party Like It’s 1999","16.0",4,"H1",True,False,14.0,5,50.9
"To Kill a Mockingbird","36.0",1,"Title",True,True,0.0,4,142.9
"Context","18.0",2,"H1",True,False,22.4,1,50.9
"Plot Overview","18.0",3,"H1",True,False,22.4,2,50.9
"Character List","18.0",4,"H1",True,False,22.4,2,50.9
"Analysis of Major Characters","18.0",5,"H1",True,False,22.4,4,50.9
"The Diary of a Young Girl","36.0",1,"Title",True,True,0.0,6,114.3
"Foreword","18.0",2,"H1",True,False,22.4,1,50.9
"Man's Search for Meaning","36.0",1,"Title",True,True,0.0,4,142.9
"Preface to the 1992 Edition","18.0",2,"H1",True,False,22.4,5,50.9
"Part One: Experiences in a Concentration Camp","16.0",3,"H1",True,False,14.0,7,50.9
"The Things You Can See Only When You Slow Down","36.0",1,"Title",True,True,0.0,11,92.6
"Introduction","18.0",2,"H1",True,False,22.4,1,50.9
"Chapter 1: Rest","16.0",3,"H1",True,False,14.0,3,50.9
"Chapter 2: Mindfulness","16.0",4,"H1",True,False,14.0,3,50.9
"1984","48.0",1,"Title",True,True,0.0,1,257.1
"Context","18.0",2,"H1",True,False,22.4,1,50.9
"Plot Overview","18.0",3,"H1",True,False,22.4,2,50.9
"Character List","18.0",4,"H1",True,False,22.4,2,50.9
"Themes","18.0",6,"H1",True,False,22.4,1,50.9
"The Alchemist","48.0",1,"Title",True,True,0.0,2,205.1
"Pride and Prejudice","48.0",1,"Title",True,True,0.0,3,171.4
"The Great Gatsby","48.0",1,"Title",True,True,0.0,3,180.1
"The Catcher in the Rye","48.0",1,"Title",True,True,0.0,5,114.3
"Lord of the Flies","48.0",1,"Title",True,True,0.0,4,157.1
"Animal Farm","48.0",1,"Title",True,True,0.0,2,214.3
"Fahrenheit 451","48.0",1,"Title",True,True,0.0,2,205.1
"Anthem","48.0",1,"Title",True,True,0.0,1,248.6
"PART ONE","18.0",2,"H1",True,False,22.4,2,50.9
"PART TWO","18.0",3,"H1",True,False,22.4,2,50.9
"PART THREE","18.0",4,"H1",True,False,22.4,2,50.9
"PART FOUR","18.0",4,"H1",True,False,14.0,2,50.9
"PART FIVE","18.0",5,"H1",True,False,22.4,2,50.9
"Federal Register / Vol. 70, No. 111 / Friday, June 10, 2005 / Notices","18.0",1,"Title",True,True,0.0,14,150.0
"DEPARTMENT OF AGRICULTURE","14.0",1,"H1",True,False,16.8,3,50.9
"Forest Service","12.0",1,"H2",True,False,8.4,2,50.9
"DEPARTMENT OF COMMERCE","14.0",1,"H1",True,False,11.2,3,50.9
"International Trade Administration","12.0",1,"H2",True,False,8.4,3,50.9
"National Oceanic and Atmospheric Administration","12.0",2,"H2",True,False,8.4,5,50.9
"DEPARTMENT OF DEFENSE","14.0",2,"H1",True,False,11.2,3,50.9
"Department of the Army","12.0",2,"H2",True,False,8.4,4,50.9
"DEPARTMENT OF HEALTH AND HUMAN SERVICES","14.0",3,"H1",True,False,11.2,6,50.9
"Centers for Disease Control and Prevention","12.0",3,"H2",True,False,8.4,6,50.9
"Health Resources and Services Administration","12.0",4,"H2",True,False,8.4,5,50.9
"National Institutes of Health","12.0",4,"H2",True,False,8.4,4,50.9
"Substance Abuse and Mental Health Services Administration","12.0",5,"H2",True,False,8.4,8,50.9
"sec news digest","24.0",1,"Title",True,False,0.0,3,50.9
"ENFORCEMENT PROCEEDINGS","14.0",1,"H1",True,False,16.8,2,214.3
"COMMISSION CHARGES BIOTECH RESEARCH COMPANY AND FORMER PRESIDENT WITH FRAUD","12.0",1,"H2",True,False,8.4,11,50.9
"INVESTMENT COMPANY ACT RELEASES","14.0",2,"H1",True,False,11.2,4,214.3
"The Mexico Equity and Income Fund, Inc.","12.0",2,"H2",True,False,8.4,7,50.9
"SELF-REGULATORY ORGANIZATIONS","14.0",2,"H1",True,False,11.2,2,214.3
"PROPOSED RULE CHANGES","12.0",2,"H2",True,False,8.4,3,50.9
"IMMEDIATE EFFECTIVENESS OF PROPOSED RULE CHANGE","12.0",3,"H2",True,False,8.4,6,50.9
"APPROVAL OF PROPOSED RULE CHANGE","12.0",3,"H2",True,False,8.4,5,50.9
"NOTICE OF FILING AND IMMEDIATE EFFECTIVENESS OF PROPOSED RULE CHANGE","12.0",4,"H2",True,False,8.4,9,50.9
"SECURITIES ACT REGISTRATIONS","14.0",4,"H1",True,False,11.2,3,214.3
"Leave Policy","24.0",1,"Title",True,True,0.0,2,234.0
"1. PURPOSE","14.0",1,"H1",True,False,16.8,2,50.9
"2. SCOPE","14.0",1,"H1",True,False,11.2,2,50.9
"3. TYPES OF LEAVE","14.0",1,"H1",True,False,11.2,4,50.9
"3.1. Casual Leave (CL)","12.0",1,"H2",True,False,8.4,4,50.9
"3.2. Earned Leave (EL)","12.0",1,"H2",True,False,8.4,4,50.9
"3.3. Sick Leave (SL)","12.0",2,"H2",True,False,5.6,4,50.9
"3.4. Maternity Leave (ML)","12.0",2,"H2",True,False,8.4,4,50.9
"3.5. Paternity Leave (PL)","12.0",2,"H2",True,False,8.4,4,50.9
"3.6. Compensatory Off","12.0",2,"H2",True,False,8.4,3,50.9
"4. GENERAL LEAVE GUIDELINES","14.0",3,"H1",True,False,11.2,4,50.9
"Cardin, Collins Introduce Bill to Help Small Businesses, Nonprofits Impacted by Disasters","18.0",1,"Title",True,False,0.0,12,50.9
"WASHINGTON","12.0",1,"Body",True,False,13.8,1,50.9
"CONSOLIDATED AUDIT REPORT","24.0",1,"Title",True,True,0.0,3,180.1
"INTRODUCTION","14.0",2,"H1",True,False,11.2,1,50.9
"PURPOSE","12.0",2,"H2",True,False,8.4,1,50.9
"SCOPE AND METHODOLOGY","12.0",2,"H2",True,False,8.4,3,50.9
"BACKGROUND","14.0",2,"H1",True,False,11.2,1,50.9
"AUDIT RESULTS","14.0",3,"H1",True,False,11.2,2,50.9
"RECOMMENDATIONS","14.0",4,"H1",True,False,11.2,1,50.9
"MANAGEMENT COMMENTS","14.0",5,"H1",True,False,11.2,2,50.9
"EVALUATION OF MANAGEMENT COMMENTS","14.0",5,"H1",True,False,11.2,4,50.9
"Research Handbook","24.0",1,"Title",True,False,0.0,2,50.9
"PREFACE","14.0",2,"H1",True,False,11.2,1,50.9
"PART I RESEARCH PROCESS","14.0",3,"H1",True,False,11.2,4,50.9
"Chapter 1: The Research Problem","12.0",3,"H2",True,False,8.4,5,50.9
"Chapter 2: The Research Proposal","12.0",4,"H2",True,False,8.4,5,50.9
"Chapter 3: Ethics in Research","12.0",5,"H2",True,False,8.4,4,50.9
"PART II RESEARCH METHODS","14.0",6,"H1",True,False,11.2,4,50.9
"Chapter 4: Qualitative Methods","12.0",6,"H2",True,False,8.4,4,50.9
"Chapter 5: Quantitative Methods","12.0",7,"H2",True,False,8.4,4,50.9
"PART III RESEARCH OUTPUT AND DISSEMINATION","14.0",8,"H1",True,False,11.2,6,50.9
"Chapter 6: Writing a Thesis or Dissertation","12.0",8,"H2",True,False,8.4,6,50.9
"Chapter 7: Publishing Your Research","12.0",9,"H2",True,False,8.4,4,50.9
"APPENDICES","14.0",10,"H1",True,False,11.2,1,50.9
"APPENDIX A: SAMPLES OF CONSENT FORMS","12.0",10,"H2",True,False,8.4,6,50.9
"APPENDIX B: RESEARCH ETHICS BOARDS","12.0",11,"H2",True,False,8.4,5,50.9
"GLOSSARY","14.0",12,"H1",True,False,11.2,1,50.9
"INDEX","14.0",13,"H1",True,False,11.2,1,50.9
"AUDIT REPORT","24.0",1,"Title",True,True,0.0,2,214.3
"Report on the Financial Statements","14.0",2,"H1",True,False,11.2,5,50.9
"Management's Responsibility for the Financial Statements","12.0",2,"H2",True,False,8.4,7,50.9
"Auditor's Responsibility","12.0",2,"H2",True,False,8.4,2,50.9
"Opinion","12.0",3,"H2",True,False,8.4,1,50.9
"Report on Other Legal and Regulatory Requirements","14.0",3,"H1",True,False,11.2,7,50.9
"ANNUAL REPORT 2024","36.0",1,"Title",True,True,0.0,3,157.1
"Vision & Mission","18.0",2,"H1",True,False,22.4,3,50.9
"Chairman’s Message","18.0",3,"H1",True,False,22.4,2,50.9
"Financial Highlights","18.0",4,"H1",True,False,22.4,2,50.9
"Management Discussion and Analysis","18.0",5,"H1",True,False,22.4,5,50.9
"Corporate Governance","18.0",6,"H1",True,False,22.4,2,50.9
"Financial Statements","18.0",7,"H1",True,False,22.4,2,50.9
"Independent Auditor’s Report","14.0",7,"H2",True,False,11.2,3,67.9
"Balance Sheet","14.0",8,"H2",True,False,11.2,2,67.9
"Statement of Income","14.0",9,"H2",True,False,11.2,3,67.9
"Statement of Cash Flows","14.0",10,"H2",True,False,11.2,4,67.9
"Notes to Financial Statements","14.0",11,"H2",True,False,11.2,4,67.9
"STRATEGIC PLAN","36.0",1,"Title",True,True,0.0,2,205.1
"2023-2027","24.0",1,"Body",True,True,28.0,1,257.1
"Executive Summary","18.0",2,"H1",True,False,22.4,2,50.9
"1. Introduction","16.0",3,"H1",True,False,14.0,2,50.9
"1.1 Background","14.0",3,"H2",True,False,11.2,2,67.9
"1.2 Mission, Vision, and Values","14.0",3,"H2",True,False,11.2,5,67.9
"2. Strategic Goals and Objectives","16.0",4,"H1",True,False,14.0,5,50.9
"2.1 Goal 1: Enhance Student Success","14.0",4,"H2",True,False,11.2,5,67.9
"2.2 Goal 2: Strengthen Community Engagement","14.0",5,"H2",True,False,11.2,5,67.9
"2.3 Goal 3: Foster Innovation and Research","14.0",6,"H2",True,False,11.2,6,67.9
"3. Implementation Plan","16.0",7,"H1",True,False,14.0,3,50.9
"4. Monitoring and Evaluation","16.0",8,"H1",True,False,14.0,4,50.9
"Appendix A: SWOT Analysis","16.0",9,"H1",True,False,14.0,4,50.9
"Quarterly Report","24.0",1,"Title",True,False,0.0,2,50.9
"First Quarter 2024","18.0",1,"Body",False,False,16.8,3,50.9
"Management’s Discussion and Analysis","16.0",2,"H1",True,False,14.0,5,50.9
"Results of Operations","14.0",2,"H2",True,False,11.2,3,50.9
"Liquidity and Capital Resources","14.0",3,"H2",True,False,11.2,4,50.9
"Quantitative and Qualitative Disclosures About Market Risk","14.0",4,"H2",True,False,11.2,8,50.9
"Condensed Consolidated Financial Statements","16.0",5,"H1",True,False,14.0,4,50.9
"Condensed Consolidated Balance Sheets","14.0",5,"H2",True,False,11.2,4,50.9
"Condensed Consolidated Statements of Operations","14.0",6,"H2",True,False,11.2,5,50.9
"Condensed Consolidated Statements of Cash Flows","14.0",7,"H2",True,False,11.2,6,50.9
"Notes to Condensed Consolidated Financial Statements","14.0",8,"H2",True,False,11.2,6,50.9
"MARKET RESEARCH REPORT","28.0",1,"Title",True,True,0.0,3,157.1
"1. Executive Summary","16.0",2,"H1",True,False,14.0,3,50.9
"2. Market Overview","16.0",3,"H1",True,False,14.0,3,50.9
"2.1 Market Size and Growth","14.0",3,"H2",True,False,11.2,5,67.9
"2.2 Key Market Trends","14.0",4,"H2",True,False,11.2,4,67.9
"3. Competitive Landscape","16.0",5,"H1",True,False,14.0,3,50.9
"3.1 Competitor Analysis","14.0",5,"H2",True,False,11.2,3,67.9
"3.2 SWOT Analysis","14.0",6,"H2",True,False,11.2,3,67.9
"4. Customer Analysis","16.0",7,"H1",True,False,14.0,3,50.9
"5. Market Forecast","16.0",8,"H1",True,False,14.0,3,50.9
"6. Recommendations","16.0",9,"H1",True,False,14.0,2,50.9
"Appendix","16.0",10,"H1",True,False,14.0,1,50.9
"BUSINESS PROPOSAL","36.0",1,"Title",True,False,0.0,2,50.9
"1. Introduction","16.0",2,"H1",True,False,14.0,2,50.9
"2. Problem Statement","16.0",2,"H1",True,False,14.0,3,50.9
"3. Proposed Solution","16.0",3,"H1",True,False,14.0,3,50.9
"4. Market Analysis","16.0",4,"H1",True,False,14.0,3,50.9
"5. Marketing and Sales Strategy","16.0",5,"H1",True,False,14.0,5,50.9
"6. Management Team","16.0",6,"H1",True,False,14.0,3,50.9
"7. Financial Projections","16.0",7,"H1",True,False,14.0,3,50.9
"8. Appendix","16.0",8,"H1",True,False,14.0,2,50.9
"PROJECT CHARTER","28.0",1,"Title",True,True,0.0,2,214.3
"1. Project Summary","14.0",2,"H1",True,False,11.2,3,50.9
"1.1 Project Name","12.0",2,"H2",True,False,8.4,3,67.9
"1.2 Project Sponsor","12.0",2,"H2",True,False,8.4,3,67.9
"1.3 Project Manager","12.0",3,"H2",True,False,8.4,3,67.9
"2. Project Goals and Objectives","14.0",3,"H1",True,False,11.2,5,50.9
"3. Scope","14.0",4,"H1",True,False,11.2,1,50.9
"4. Key Deliverables","14.0",4,"H1",True,False,11.2,2,50.9
